price,area,Loại BĐS:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng tắm:,Số tầng:,Vị trí:,Hướng cửa chính:,Đường/hẻm vào rộng:,Loại đường:,Loại BDS:,Pháp lý:
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
850 tỷ,2000m²,"Nhà riêng, nhà phố",60m,35m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
15 tỷ,69m²,"Nhà riêng, nhà phố",4.8m,14.5m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
20 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,6,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
23.5 tỷ,300m²,"Nhà riêng, nhà phố",10m,30m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
11 tỷ,53m²,"Nhà riêng, nhà phố",5.3m,11m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
27 tỷ,240m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,48m²,"Nhà riêng, nhà phố",6.2m,8m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
4.39 tỷ,120m²,"Nhà riêng, nhà phố",6m,20m,4,,3,Đường chính,Đông,15m,Đường nhựa,,
14.5 tỷ,161m²,"Nhà riêng, nhà phố",6.55m,25m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
14 tỷ,94m²,"Nhà riêng, nhà phố",5m,18.8m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
13.8 tỷ,138m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,340m²,"Nhà riêng, nhà phố",12m,28m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
16.5 tỷ,67m²,"Nhà riêng, nhà phố",4.5m,15m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
16 tỷ,90m²,"Nhà riêng, nhà phố",8m,12m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
9.8 tỷ,120m²,"Nhà riêng, nhà phố",5m,24m,,,5,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
17 tỷ,297m²,"Nhà riêng, nhà phố",7.8m,39m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
9 tỷ,117m²,"Nhà riêng, nhà phố",7m,17.5m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
8.7 tỷ,115m²,"Nhà riêng, nhà phố",5m,23m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
21 tỷ,281m²,"Nhà riêng, nhà phố",19m,15m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
24.9 tỷ,162m²,"Nhà riêng, nhà phố",6.07m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",4.3m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
31.5 tỷ,245m²,"Nhà riêng, nhà phố",8m,24m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
18 tỷ,120m²,"Nhà riêng, nhà phố",6.5m,20m,,,3,Đường chính,,11m,Đường nhựa,,Có sổ đỏ
12 tỷ,87m²,"Nhà riêng, nhà phố",4.5m,19m,,,4,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,905m²,"Nhà riêng, nhà phố",5m,18.5m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,20.6m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
5.5 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
33 tỷ,223m²,"Nhà riêng, nhà phố",10m,23m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
13 tỷ,200m²,"Nhà riêng, nhà phố",10m,200m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
850 tỷ,2000m²,"Nhà riêng, nhà phố",60m,35m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
18 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,7,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
7.3 tỷ,105m²,"Nhà riêng, nhà phố",5m,21m,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
15.5 tỷ,110m²,"Nhà riêng, nhà phố",5m,22m,,,6,Đường chính,Đông Nam,8m,Đường nhựa,,Có sổ hồng
1.75 tỷ,61m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Đông Bắc,5m,Đường nhựa,,Có sổ đỏ
5.3 tỷ,53m²,"Nhà riêng, nhà phố",3.67m,13.7m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
5.3 tỷ,53m²,"Nhà riêng, nhà phố",4m,13.5m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
7.3 tỷ,105m²,"Nhà riêng, nhà phố",5m,21m,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
33 tỷ,126m²,"Nhà riêng, nhà phố",7m,18m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
60 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
27.5 tỷ,212m²,"Nhà riêng, nhà phố",10.2m,21m,,,5,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,,6m,Đường nhựa,,Có sổ đỏ
19 tỷ,135m²,"Nhà riêng, nhà phố",5m,27m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,164m²,"Nhà riêng, nhà phố",8m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
14 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,7,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
28.4 tỷ,204m²,"Nhà riêng, nhà phố",7.2m,20.6m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
27 tỷ,240m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
24.9 tỷ,162m²,"Nhà riêng, nhà phố",6.07m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,340m²,"Nhà riêng, nhà phố",12m,28m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
23.5 tỷ,300m²,"Nhà riêng, nhà phố",10m,30m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
20 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,6,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
7.6 tỷ,75m²,"Nhà riêng, nhà phố",5m,15m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
13.2 tỷ,107m²,"Nhà riêng, nhà phố",6.2m,18m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
2.15 tỷ,37m²,"Nhà riêng, nhà phố",7m,5.2m,,,2,Đường chính,Nam,2.5m,Đường nhựa,,Có sổ hồng
28.4 tỷ,204m²,"Nhà riêng, nhà phố",7.2m,20.6m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
5.2 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,3,,2,Đường chính,Đông,5.5m,Đường nhựa,,
23.5 tỷ,300m²,"Nhà riêng, nhà phố",10m,30m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
8 tỷ,110m²,"Nhà riêng, nhà phố",6m,18m,20,,4,Đường chính,Đông Nam,7.5m,Đường nhựa,,
28.4 tỷ,204m²,"Nhà riêng, nhà phố",7.2m,20.6m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
23.5 tỷ,300m²,"Nhà riêng, nhà phố",10m,30m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
13.99 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,4,Đường chính,Nam,35m,Đường nhựa,,Có sổ hồng
4.5 tỷ,50m²,"Nhà riêng, nhà phố",4.3m,14m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
18 tỷ,136m²,"Nhà riêng, nhà phố",5m,27m,,,4,Đường chính,Nam,35m,Đường nhựa,,Có sổ hồng
5.68 tỷ,70m²,"Nhà riêng, nhà phố",5m,14m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
2.25 tỷ,45.6m²,"Nhà riêng, nhà phố",4m,12m,2,2,3,Đường chính,Bắc,3m,Đường bê tông,,
7.2 tỷ,138m²,"Nhà riêng, nhà phố",5m,28m,2,,1,Đường chính,Đông,7.5m,Đường nhựa,,
14.5 tỷ,182m²,"Nhà riêng, nhà phố",6.7m,28m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
2.85 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,2,Đường chính,Nam,2m,Đường nhựa,,Có sổ hồng
5 tỷ,76.5m²,"Nhà riêng, nhà phố",4.5m,17m,3,2,3,Đường chính,Tây Bắc,7.5m,Đường nhựa,,
3 tỷ,64m²,"Nhà riêng, nhà phố",5m,13m,,,3,Đường chính,Nam,4m,Đường nhựa,,Có sổ đỏ
3 tỷ,64m²,"Nhà riêng, nhà phố",5m,13m,,,3,Đường chính,Nam,4m,Đường nhựa,,Có sổ đỏ
6.9 tỷ,110m²,"Nhà riêng, nhà phố",5m,22m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
18 tỷ,136m²,"Nhà riêng, nhà phố",5m,27m,,,4,Đường chính,Nam,35m,Đường nhựa,,Có sổ hồng
7.3 tỷ,114m²,"Nhà riêng, nhà phố",5m,23m,2,,1,Đường chính,Đông,15m,Đường nhựa,,
14.5 tỷ,180m²,"Nhà riêng, nhà phố",10m,18m,,,2,Đường chính,Tây Bắc,1m,Đường nhựa,,Có sổ hồng
9.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,20m,14,,5,,Đông Nam,10m,Đường nhựa,,
5.5 tỷ,99m²,"Nhà riêng, nhà phố",5m,20m,8,,3,Đường chính,Đông,6m,Đường nhựa,,
4.5 tỷ,50m²,"Nhà riêng, nhà phố",4.3m,14m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
8.4 tỷ,85m²,"Nhà riêng, nhà phố",4.6m,18.2m,,,3,Đường chính,Tây Bắc,8m,Đường nhựa,,Có sổ hồng
6.1 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
4.65 tỷ,44m²,"Nhà riêng, nhà phố",3.5m,12.5m,,,3,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
8.7 tỷ,115m²,"Nhà riêng, nhà phố",5m,23m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
11.5 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
11 tỷ,53m²,"Nhà riêng, nhà phố",5.3m,11m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
9.9 tỷ,148m²,"Nhà riêng, nhà phố",8.7m,17m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
16.5 tỷ,67m²,"Nhà riêng, nhà phố",4.5m,15m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
33 tỷ,223m²,"Nhà riêng, nhà phố",10m,23m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
16.3 tỷ,190m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
9.3 tỷ,156m²,"Nhà riêng, nhà phố",5.4m,28m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
8.5 tỷ,101m²,"Nhà riêng, nhà phố",5.2m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
13.8 tỷ,138m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12 tỷ,87m²,"Nhà riêng, nhà phố",4.5m,19m,,,4,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
17 tỷ,297m²,"Nhà riêng, nhà phố",7.8m,39m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
18 tỷ,120m²,"Nhà riêng, nhà phố",6.5m,20m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
9 tỷ,117m²,"Nhà riêng, nhà phố",7m,17.5m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
16 tỷ,90m²,"Nhà riêng, nhà phố",8m,12m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,905m²,"Nhà riêng, nhà phố",5m,18.5m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
10 tỷ,88m²,"Nhà riêng, nhà phố",4.5m,19.5m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
22 tỷ,132m²,"Nhà riêng, nhà phố",6m,22m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
13.7 tỷ,80m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Tây Nam,1m,Đường nhựa,,Có sổ đỏ
20 tỷ,100m²,"Nhà riêng, nhà phố",4.3m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
9.8 tỷ,120m²,"Nhà riêng, nhà phố",5m,24m,,,5,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
31.5 tỷ,245m²,"Nhà riêng, nhà phố",8m,24m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,340m²,"Nhà riêng, nhà phố",12m,28m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,160m²,"Nhà riêng, nhà phố",10m,16m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
5.65 tỷ,57m²,"Nhà riêng, nhà phố",4m,14m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
11 tỷ,76m²,"Nhà riêng, nhà phố",4.5m,17m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
9.2 tỷ,98m²,"Nhà riêng, nhà phố",5m,19.5m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,20.6m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
7 tỷ,154m²,"Nhà riêng, nhà phố",7.6m,22.5m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
32 tỷ,110m²,"Nhà riêng, nhà phố",4.9m,24.5m,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
32 tỷ,242m²,"Nhà riêng, nhà phố",13m,20m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
9.99 tỷ,72m²,"Nhà riêng, nhà phố",8.5m,8.4m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
10.5 tỷ,168m²,"Nhà riêng, nhà phố",6.2m,17.2m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
4.5 tỷ,50m²,"Nhà riêng, nhà phố",4.3m,14m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
8.5 tỷ,103m²,"Nhà riêng, nhà phố",5m,21m,,,5,Đường chính,Đông Nam,7m,Đường nhựa,,Có sổ đỏ
6.1 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
4.5 tỷ,50m²,"Nhà riêng, nhà phố",4.3m,14m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
8 tỷ,75m²,"Nhà riêng, nhà phố",7.9m,9m,,,4,Đường chính,Nam,35m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
13 tỷ,202m²,"Nhà riêng, nhà phố",6.5m,34m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
27 tỷ,240m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,340m²,"Nhà riêng, nhà phố",12m,28m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,48m²,"Nhà riêng, nhà phố",6.2m,8m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
32 tỷ,242m²,"Nhà riêng, nhà phố",13m,20m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
75 tỷ,2250m²,"Nhà riêng, nhà phố",50m,50m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
55 tỷ,117m²,"Nhà riêng, nhà phố",11m,11m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
11 tỷ,120m²,"Nhà riêng, nhà phố",4.5m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
8.7 tỷ,115m²,"Nhà riêng, nhà phố",5m,23m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
14 tỷ,94m²,"Nhà riêng, nhà phố",5m,18.8m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
7 tỷ,150m²,"Nhà riêng, nhà phố",5m,30m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
9.9 tỷ,148m²,"Nhà riêng, nhà phố",8.7m,17m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
11 tỷ,53m²,"Nhà riêng, nhà phố",5.3m,11m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
14 tỷ,138m²,"Nhà riêng, nhà phố",5m,28m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
16.5 tỷ,67m²,"Nhà riêng, nhà phố",4.5m,15m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
